"speed_limit","total_number_of_lanes","transport_line_type_code_desc","transport_line_surface_code_desc","transport_line_divided_code_desc","geom"
30,2,"Road local","overgrown","None","01050000A0BD0B0000010000000102000080020000009CB0225E5CA832416942D9DF748C1C410000000000000000687DEF2AC3A73241E22B0091D88F1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A87999FA73241CC523199AF901C4100000000000000001E71ED7F66A73241CC523199FB911C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4DAEA73241BD257FFB838A1C410000000000000000EC3DBA4C7CA73241FF8564CCA28B1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1AF8A73241B9CF70CEE0881C41000000000000000092D97E4DAEA73241BD257FFB838A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD24A83241559491FEE1871C410000000000000000261D0A1AF8A73241B9CF70CEE0881C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000046A2F5CB9EA63241B7A4E93781871C410000000000000000DCE5809881A63241559491FE31871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000126FC218DCA6324165ECCA322F881C41000000000000000046A2F5CB9EA63241B7A4E93781871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000005A503D4D3CA732419A4A85FC3F891C410000000000000000126FC218DCA6324165ECCA322F881C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4DAEA73241BD257FFB838A1C4100000000000000005A503D4D3CA732419A4A85FC3F891C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B0000010000000102000080020000009CB0225E5CA832416942D9DF748C1C41000000000000000092D97E4DAEA73241BD257FFB838A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000001E71EDFFE6AB3241FF8564CC54961C410000000000000000B80A8799C3AB324132B997FFF1951C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBA4C7CA73241FF8564CCA28B1C410000000000000000EC3DBA4C09A7324132B997FF638A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000005A503D4D3CA732419A4A85FC3F891C410000000000000000EC3DBA4C09A7324132B997FF638A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B4B4784C59A73241A977379A99881C4100000000000000005A503D4D3CA732419A4A85FC3F891C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1A84A73241BD257FFBA5871C410000000000000000B4B4784C59A73241A977379A99881C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B05E6A7FB2A7324157BF18959B861C410000000000000000261D0A1A84A73241BD257FFBA5871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1A84A73241BD257FFBA5871C410000000000000000126FC298C8A63241ADCD45C79C851C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000001E71ED7FF7A63241CC52319991841C410000000000000000126FC298C8A63241ADCD45C79C851C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000126FC298C8A63241ADCD45C79C851C4100000000000000007E2B374C9EA632414211D1338F861C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000007E2B374C9EA632414211D1338F861C410000000000000000DCE5809881A63241559491FE31871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B4B4784C59A73241A977379A99881C4100000000000000007E2B374C9EA632414211D1338F861C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000126FC218DCA6324165ECCA322F881C410000000000000000B80A879918A6324132B997FF458C1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A879918A6324132B997FF458C1C410000000000000000B80A8719FCA5324132B997FFDD8C1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000046A2F5CB9EA63241B7A4E93781871C410000000000000000B80A8719DDA53241CC523199A18B1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799FAA7324132B997FF83911C410000000000000000F093C819B4A73241ADCD45C71E931C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080030000001E71ED7F59AB3241CC523199E59A1C4100000000000000003EF6D871CEAA3241F804CF08FC9D1C410000000000000000B05E6A7F67AA32414211D13345A01C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD1CAA3241FF8564CCB2991C41000000000000000092D97E4DE6A9324134E41E96E59A1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD60AA324196F476CF30981C41000000000000000092D97ECD1CAA3241FF8564CCB2991C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799B5AA3241FF8564CC1C991C410000000000000000B4B4784CC2A932412036D734879E1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBACC84A93241CC523199CD951C410000000000000000F093C81928A932414211D133E1971C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000046A2F54BE5A93241CA27AA02A6931C410000000000000000EC3DBACC84A93241CC523199CD951C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4DD8AA3241A74CB00314911C410000000000000000B4B478CC95AA3241BD257FFB91921C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4D8AAA3241ADCD45C7F88F1C410000000000000000261D0A9A40AA324111092597A3911C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008003000000EC3DBACC3BAA3241FF8564CC548D1C4100000000000000001E71ED7F1FAA324165ECCA32D98D1C410000000000000000EC3DBA4CB6A9324132B997FF3F901C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B05E6AFFD1A932418471B604B88C1C41000000000000000022C7FB4C5FA93241ABA2BE304B8F1C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B000001000000010200008003000000126FC218FDAB324174197DD0AE9C1C410000000000000000209C7496E5AB3241BF5006926E9C1C410000000000000000B80A8719B6AB3241FF8564CCEC9B1C410000000000000000"
30,2,"Road collector minor","paved","None","01050000A0BD0B000001000000010200008003000000B80A8719B6AB3241FF8564CCEC9B1C4100000000000000006427E19D8AAB3241FD5ADD35719B1C4100000000000000001E71ED7F59AB3241CC523199E59A1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799B5AA3241FF8564CC1C991C41000000000000000092D97ECD60AA324196F476CF30981C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD60AA324196F476CF30981C410000000000000000B80A879909AA3241E00079FA3D971C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBA4C58A83241FF8564CC88921C410000000000000000B80A8799FAA7324132B997FF83911C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000B80A879918A6324132B997FF458C1C410000000000000000B80A8719DDA53241CC523199A18B1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000B80A8719DDA53241CC523199A18B1C4100000000000000003875430E82A53241FF85644C9F8A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008004000000B80A871966A9324132B997FFC99D1C410000000000000000126FC21823A932413C903B70499F1C410000000000000000D00EDDC7D6A83241F058B22EFEA01C410000000000000000261D0A1A78A832418471B6041CA31C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008004000000B80A8719B8A932417A9A1294BB9E1C410000000000000000C40CB2C07DA932411CE0C80706A01C4100000000000000002E9E9F5D32A93241BD257FFBB0A11C41000000000000000052A420F311A93241CC52319968A21C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000056FA2E805FAC32412036D734C59D1C410000000000000000126FC218FDAB324174197DD0AE9C1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000007E2B374CCDAC3241EC02A4013AA11C4100000000000000001E71EDFF95AC3241FF8564CC72A21C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000056FA2E805FAC32412036D734C59D1C410000000000000000F093C89919AC3241DCAA6ACD4C9F1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000007E2B374CCDAC3241EC02A4013AA11C410000000000000000F093C89919AC3241DCAA6ACD4C9F1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000022C7FBCC36AD32411E0B509E5BA21C4100000000000000007E2B374CCDAC3241EC02A4013AA11C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799F3B33241CC523199F9B41C410000000000000000F093C819C7B332419A4A85FC59B41C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000FC95F30014B332417A9A1294D7B11C410000000000000000B80A8799CBB23241FF8564CCD4B01C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B0000010000000102000080020000001E71EDFF5FB2324132B997FF51AF1C41000000000000000046A2F54B31B232411E0B509EA9AE1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B00000100000001020000800200000046A2F54B31B232411E0B509EA9AE1C4100000000000000005A503DCD11B23241BD257FFB37AE1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B0000010000000102000080020000005A503DCD11B23241BD257FFB37AE1C410000000000000000B80A87B9DCB1324122615E4B74AD1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008003000000B80A87B9DCB1324122615E4B74AD1C410000000000000000A8B24D85D2B13241F28339454BAD1C410000000000000000E8E7AB5FBDB13241360FA62C0BAD1C410000000000000000"
50,4,"Road collector major","paved","None","01050000A0BD0B000001000000010200008006000000E8E7AB5FBDB13241360FA62C0BAD1C4100000000000000009CB0223EB7B1324159EA9FABF0AC1C410000000000000000B80A8719ACB13241CC523199C9AC1C41000000000000000094040604A4B13241BBFAF7E4B4AC1C410000000000000000A00631AB98B13241E8AC95D497AC1C410000000000000000EC3DBACC92B13241FF8564CC88AC1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1A9DA73241671752C9D4B31C410000000000000000C40CB200FFA63241ABA2BE309FB11C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800300000092D97E4DBEAE3241FD5ADD3595AB1C410000000000000000DE10084FBDAE3241DED5F1E395AB1C41000000000000000046A2F5CB5FAE324132B997FFD5AB1C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000046A2F5CB5FAE324132B997FFD5AB1C410000000000000000126FC218D9AD3241A74CB00332AC1C410000000000000000"
30,1,"Road local","paved","None","01050000A0BD0B0000010000000102000080030000008056BEE2F6B232416D98E70C26B01C4100000000000000000442105B99B23241EAD71CEBCAAE1C41000000000000000018F0571C8EB23241C8FC226C82AE1C410000000000000000"
30,1,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A87F93DB33241308E10E928B11C4100000000000000008056BEE2F6B232416D98E70C26B01C410000000000000000"
30,2,"Road arterial minor","paved","None","01050000A0BD0B00000100000001020000800200000052A42073DAB6324132B997FF7CE11C410000000000000000F093C819D7B63241671752C9DCE31C410000000000000000"
30,2,"Road arterial minor","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799E0B6324132B997FF5FDD1C410000000000000000EC3DBACCDDB63241EC02A401E8DF1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B0000010000000102000080020000000CEE2C95A1B13241EE2D2B984CDA1C410000000000000000665268B487B1324188C7C4B1C3DA1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B0000010000000102000080020000004AF8031935B2324140E6499DADD71C4100000000000000000CEE2C95A1B13241EE2D2B984CDA1C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1A7FB2324140E6499D5FD61C4100000000000000001E71EDFF60B2324111092597E7D61C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B0000010000000102000080020000005EA64B1AC8B232418AF24BC818D51C410000000000000000261D0A1A7FB2324140E6499D5FD61C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000C862C04D11B33241F058B22ECDD31C4100000000000000005EA64B1AC8B232418AF24BC818D51C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008003000000FC95F38090B33241BD257FFBA1D11C410000000000000000A45C3FB850B33241248CE561B8D21C410000000000000000B80A871930B33241383A2DC346D31C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000F093C81902B432418471B604D6D01C410000000000000000FC95F38090B33241BD257FFBA1D11C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000B80A879952B432418471B60446D01C410000000000000000F093C81902B432418471B604D6D01C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBACCB6B432410FDE9D0048D01C410000000000000000B80A879952B432418471B60446D01C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B0000010000000102000080020000001E71EDFFE9B43241EE2D2B984DD01C410000000000000000EC3DBACCB6B432410FDE9D0048D01C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000126FC29855B532410FDE9D0058D01C4100000000000000001E71EDFFE9B43241EE2D2B984DD01C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B0000010000000102000080030000009CB022FE26B6324153690AE86AD01C4100000000000000003EF6D851B0B5324165ECCA3260D01C410000000000000000126FC29855B532410FDE9D0058D01C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000E8E7AB7F88B632412036D73473D01C410000000000000000C2E12A8A5BB632414667DF606FD01C410000000000000000"
50,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000126FC218F8B63241FF8564CC7CD01C410000000000000000E03B8FA5B7B632415B15274277D01C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBACCF4A53241CC5231994DB21C410000000000000000CA8D47246AA53241E45687A756B01C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008003000000CA8D47246AA53241E45687A756B01C410000000000000000B289F1150AA532413C903B70FCAE1C410000000000000000B80A8719F3A43241CC523199A9AE1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000F093C81907A53241FD5ADD35D1AD1C410000000000000000F093C819D0A43241559491FE0BAD1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000AADDD4DB8EA53241248CE561B7AF1C410000000000000000F093C81907A53241FD5ADD35D1AD1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000022C7FB4C4EA73241F058B22E41B01C41000000000000000092D97ECD27A73241E00079FAAFAF1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080030000007E2B37CCC2A632411E0B509E69AA1C410000000000000000209C74B6ACA63241EAD71CEB19AA1C4100000000000000004AF8039989A6324165ECCA329BA91C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBACC4BA7324165ECCA3257AC1C4100000000000000007E2B37CCC2A632411E0B509E69AA1C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B0000010000000102000080030000000E19B44B85A63241DA7FE33679AB1C410000000000000000E6BC246919A632411334ACADF8A91C410000000000000000B80A8799FCA532419A4A85FC91A91C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B0000010000000102000080020000004AF803990EA732419A4A85FC63AD1C4100000000000000000E19B44B85A63241DA7FE33679AB1C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000022C7FBCC8CA7324134E41E962BAF1C4100000000000000004AF803990EA732419A4A85FC63AD1C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B0000010000000102000080020000005A503DCDD3A73241559491FE23B01C41000000000000000022C7FBCC8CA7324134E41E962BAF1C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD2BA832411E0B509E5FB11C4100000000000000005A503DCDD3A73241559491FE23B01C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000022C7FB4CBBA832411334AC2D67B31C41000000000000000092D97ECD2BA832411E0B509E5FB11C410000000000000000"
30,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000078D528FF37A93241BD257FFB27B51C41000000000000000022C7FB4CBBA832411334AC2D67B31C410000000000000000"
30,2,"Road collector minor","paved","None","01050000A0BD0B000001000000010200008002000000E8E7ABFFA9A9324134E41E96C3B61C41000000000000000078D528FF37A93241BD257FFB27B51C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B000001000000010200008002000000B4B4784C22AA324132B997FF71B81C410000000000000000E8E7ABFFA9A9324134E41E96C3B61C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B0000010000000102000080020000007E2B374C99AA3241A74CB0031CBA1C410000000000000000B4B4784C22AA324132B997FF71B81C410000000000000000"
50,2,"Road arterial minor","paved","None","01050000A0BD0B0000010000000102000080020000008281451975AC3241443C58CAC4C01C410000000000000000261D0A1AF6AB3241BD257FFBFDBE1C410000000000000000"
30,2,"Road arterial minor","paved","None","01050000A0BD0B000001000000010200008002000000E8E7ABFF3AAD324196F476CF8EC31C4100000000000000008281451975AC3241443C58CAC4C01C410000000000000000"
50,2,"Road arterial minor","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4D9CAE324165ECCA327DC81C410000000000000000CCB8CEFA6BAE324153690AE8CEC71C410000000000000000"
50,2,"Road arterial minor","paved","None","01050000A0BD0B00000100000001020000800200000082814519F6AE3241671752C9C0C91C410000000000000000126FC218CCAE324182462F6E29C91C410000000000000000"
50,2,"Road arterial minor","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBACCF7AF3241A74CB00364CD1C41000000000000000082814519F6AE3241671752C9C0C91C410000000000000000"
50,2,"Road arterial minor","paved","None","01050000A0BD0B000001000000010200008002000000261D0A9A81B03241EC02A40150CF1C410000000000000000EC3DBACCF7AF3241A74CB00364CD1C410000000000000000"
